n,block_size,iteration,kernel_ms,total_ms,correct
1024,128,0,0.007296,0.051968,PASS
1024,128,1,0.006016,0.026496,PASS
1024,128,2,0.004736,0.025697,PASS
1024,128,3,0.005952,0.025376,PASS
1024,128,4,0.005952,0.024736,PASS
1024,128,5,0.004352,0.024096,PASS
1024,128,6,0.005952,0.024384,PASS
1024,128,7,0.004448,0.024769,PASS
1024,128,8,0.004704,0.024608,PASS
1024,128,9,0.004384,0.02544,PASS
1024,128,10,0.0048,0.024672,PASS
1024,128,11,0.00576,0.024576,PASS
1024,128,12,0.003904,0.024353,PASS
1024,128,13,0.00464,0.0256,PASS
1024,128,14,0.004128,0.023552,PASS
1024,128,15,0.004672,0.025568,PASS
1024,128,16,0.005664,0.025824,PASS
1024,128,17,0.005184,0.025569,PASS
1024,128,18,0.004448,0.025408,PASS
1024,128,19,0.0064,0.070304,PASS
1024,128,20,0.004992,0.027488,PASS
1024,128,21,0.004128,0.023681,PASS
1024,128,22,0.0056,0.026784,PASS
1024,128,23,0.005824,0.0256,PASS
1024,128,24,0.00608,0.025344,PASS
1024,128,25,0.006688,0.025985,PASS
1024,128,26,0.004928,0.025536,PASS
1024,128,27,0.00576,0.026464,PASS
1024,128,28,0.006368,0.027808,PASS
1024,128,29,0.005536,0.024256,PASS
1024,128,30,0.004416,0.023841,PASS
1024,128,31,0.007456,0.024384,PASS
1024,128,32,0.005888,0.025568,PASS
1024,128,33,0.00576,0.025472,PASS
1024,128,34,0.004384,0.025408,PASS
1024,128,35,0.004864,0.024832,PASS
1024,128,36,0.004384,0.025537,PASS
1024,128,37,0.005536,0.025344,PASS
1024,128,38,0.004416,0.023616,PASS
1024,128,39,0.005824,0.02464,PASS
1024,128,40,0.004768,0.025504,PASS
1024,128,41,0.004352,0.024481,PASS
1024,128,42,0.004608,0.024992,PASS
1024,128,43,0.004192,0.024128,PASS
1024,128,44,0.003872,0.025536,PASS
1024,128,45,0.005824,0.025536,PASS
1024,128,46,0.005792,0.025473,PASS
1024,128,47,0.005568,0.027712,PASS
1024,128,48,0.005792,0.025536,PASS
1024,128,49,0.004736,0.024384,PASS
1024,128,50,0.006176,0.025856,PASS
1024,128,51,0.005696,0.025473,PASS
1024,128,52,0.0048,0.025472,PASS
1024,128,53,0.0056,0.025728,PASS
1024,128,54,0.006176,0.025664,PASS
1024,128,55,0.00576,0.023136,PASS
1024,128,56,0.00576,0.024833,PASS
1024,128,57,0.00656,0.026304,PASS
1024,128,58,0.006016,0.025792,PASS
1024,128,59,0.005536,0.026688,PASS
1024,128,60,0.005664,0.024448,PASS
1024,128,61,0.005824,0.024577,PASS
1024,128,62,0.005632,0.024608,PASS
1024,128,63,0.00544,0.025056,PASS
1024,128,64,0.005632,0.025248,PASS
1024,128,65,0.004384,0.025344,PASS
1024,128,66,0.005824,0.025761,PASS
1024,128,67,0.004416,0.030368,PASS
1024,128,68,0.004768,0.026496,PASS
1024,128,69,0.004128,0.024864,PASS
1024,128,70,0.004096,0.024384,PASS
1024,128,71,0.005696,0.024577,PASS
1024,128,72,0.005728,0.02672,PASS
1024,128,73,0.00592,0.026496,PASS
1024,128,74,0.004992,0.0256,PASS
1024,128,75,0.005952,0.025504,PASS
1024,128,76,0.00576,0.024449,PASS
1024,128,77,0.007136,0.02576,PASS
1024,128,78,0.004192,0.025536,PASS
1024,128,79,0.00592,0.02656,PASS
1024,128,80,0.006016,0.02672,PASS
1024,128,81,0.005856,0.025441,PASS
1024,128,82,0.004384,0.024544,PASS
1024,128,83,0.005472,0.024512,PASS
1024,128,84,0.005536,0.02464,PASS
1024,128,85,0.004384,0.024416,PASS
1024,128,86,0.004416,0.025601,PASS
1024,128,87,0.006048,0.025344,PASS
1024,128,88,0.004544,0.02464,PASS
1024,128,89,0.005504,0.026816,PASS
1024,128,90,0.004896,0.025632,PASS
1024,128,91,0.005824,0.025441,PASS
1024,128,92,0.003872,0.02672,PASS
1024,128,93,0.005664,0.026528,PASS
1024,128,94,0.004224,0.024992,PASS
1024,128,95,0.0056,0.027936,PASS
1024,128,96,0.004448,0.031777,PASS
1024,128,97,0.006144,0.027776,PASS
1024,128,98,0.006112,0.02416,PASS
1024,128,99,0.004704,0.024768,PASS
1024,256,0,0.006336,0.04576,PASS
1024,256,1,0.00464,0.024992,PASS
1024,256,2,0.00592,0.055489,PASS
1024,256,3,0.004672,0.023136,PASS
1024,256,4,0.004384,0.023552,PASS
1024,256,5,0.004352,0.02352,PASS
1024,256,6,0.004096,0.023521,PASS
1024,256,7,0.004256,0.023392,PASS
1024,256,8,0.004544,0.023744,PASS
1024,256,9,0.004256,0.023424,PASS
1024,256,10,0.0048,0.023424,PASS
1024,256,11,0.00432,0.023584,PASS
1024,256,12,0.005664,0.023777,PASS
1024,256,13,0.004832,0.023168,PASS
1024,256,14,0.005472,0.02272,PASS
1024,256,15,0.005824,0.023392,PASS
1024,256,16,0.005632,0.023552,PASS
1024,256,17,0.00544,0.023649,PASS
1024,256,18,0.005632,0.023264,PASS
1024,256,19,0.004768,0.024768,PASS
1024,256,20,0.005504,0.024704,PASS
1024,256,21,0.0152,0.024352,PASS
1024,256,22,0.00448,0.024577,PASS
1024,256,23,0.0056,0.024384,PASS
1024,256,24,0.00432,0.024128,PASS
1024,256,25,0.003904,0.023936,PASS
1024,256,26,0.00576,0.022912,PASS
1024,256,27,0.004352,0.024256,PASS
1024,256,28,0.004256,0.023457,PASS
1024,256,29,0.005792,0.02352,PASS
1024,256,30,0.004192,0.024448,PASS
1024,256,31,0.004288,0.024608,PASS
1024,256,32,0.003872,0.023456,PASS
1024,256,33,0.005824,0.023745,PASS
1024,256,34,0.00576,0.023424,PASS
1024,256,35,0.004352,0.023584,PASS
1024,256,36,0.00592,0.02336,PASS
1024,256,37,0.005696,0.024672,PASS
1024,256,38,0.005792,0.023137,PASS
1024,256,39,0.00576,0.023456,PASS
1024,256,40,0.005888,0.023648,PASS
1024,256,41,0.005696,0.023616,PASS
1024,256,42,0.003872,0.023488,PASS
1024,256,43,0.004672,0.030977,PASS
1024,256,44,0.005888,0.024224,PASS
1024,256,45,0.0056,0.023712,PASS
1024,256,46,0.004576,0.025568,PASS
1024,256,47,0.005888,0.024416,PASS
1024,256,48,0.005664,0.025856,PASS
1024,256,49,0.006048,0.025505,PASS
1024,256,50,0.004928,0.027616,PASS
1024,256,51,0.00576,0.023872,PASS
1024,256,52,0.005536,0.02288,PASS
1024,256,53,0.004864,0.023968,PASS
1024,256,54,0.004864,0.024289,PASS
1024,256,55,0.00608,0.024096,PASS
1024,256,56,0.00448,0.026144,PASS
1024,256,57,0.005632,0.025472,PASS
1024,256,58,0.005024,0.024352,PASS
1024,256,59,0.005696,0.023713,PASS
1024,256,60,0.005472,0.025568,PASS
1024,256,61,0.005664,0.025696,PASS
1024,256,62,0.00432,0.023936,PASS
1024,256,63,0.005536,0.024896,PASS
1024,256,64,0.00448,0.024577,PASS
1024,256,65,0.004928,0.025568,PASS
1024,256,66,0.004096,0.023552,PASS
1024,256,67,0.005952,0.025408,PASS
1024,256,68,0.004416,0.024864,PASS
1024,256,69,0.005984,0.023585,PASS
1024,256,70,0.004672,0.02512,PASS
1024,256,71,0.00432,0.024832,PASS
1024,256,72,0.004928,0.02544,PASS
1024,256,73,0.004544,0.024288,PASS
1024,256,74,0.004544,0.024768,PASS
1024,256,75,0.004192,0.024929,PASS
1024,256,76,0.005536,0.023968,PASS
1024,256,77,0.0048,0.024992,PASS
1024,256,78,0.005504,0.027264,PASS
1024,256,79,0.004288,0.0256,PASS
1024,256,80,0.005632,0.023585,PASS
1024,256,81,0.005792,0.023616,PASS
1024,256,82,0.005536,0.023296,PASS
1024,256,83,0.00432,0.029792,PASS
1024,256,84,0.004032,0.023424,PASS
1024,256,85,0.0056,0.023681,PASS
1024,256,86,0.005536,0.023296,PASS
1024,256,87,0.005728,0.02464,PASS
1024,256,88,0.004672,0.023456,PASS
1024,256,89,0.004288,0.02256,PASS
1024,256,90,0.005728,0.023585,PASS
1024,256,91,0.00576,0.023168,PASS
1024,256,92,0.005472,0.022752,PASS
1024,256,93,0.004192,0.023648,PASS
1024,256,94,0.004096,0.02352,PASS
1024,256,95,0.004256,0.023264,PASS
1024,256,96,0.003936,0.022785,PASS
1024,256,97,0.005632,0.023552,PASS
1024,256,98,0.005696,0.025504,PASS
1024,256,99,0.005536,0.026752,PASS
1024,512,0,0.006656,0.043552,PASS
1024,512,1,0.004576,0.026048,PASS
1024,512,2,0.012736,0.024192,PASS
1024,512,3,0.00464,0.023616,PASS
