n,block_size,iteration,kernel_ms,total_ms,correct
1024,128,0,0.005216,0.043777,PASS
1024,128,1,0.004512,0.030176,PASS
1024,128,2,0.004224,0.024864,PASS
1024,128,3,0.004224,0.023584,PASS
1024,128,4,0.004416,0.024672,PASS
1024,128,5,0.004288,0.023265,PASS
1024,128,6,0.004256,0.023648,PASS
1024,128,7,0.004448,0.023584,PASS
1024,128,8,0.004256,0.024544,PASS
1024,128,9,0.004192,0.02464,PASS
1024,128,10,0.003776,0.024384,PASS
1024,128,11,0.004448,0.023713,PASS
1024,128,12,0.005856,0.024416,PASS
1024,128,13,0.006784,0.024544,PASS
1024,128,14,0.004864,0.02336,PASS
1024,128,15,0.006176,0.02368,PASS
1024,128,16,0.005504,0.025665,PASS
1024,128,17,0.005696,0.024448,PASS
1024,128,18,0.004448,0.02544,PASS
1024,128,19,0.004224,0.023584,PASS
1024,128,20,0.0064,0.023776,PASS
1024,128,21,0.006208,0.024321,PASS
1024,128,22,0.006528,0.024576,PASS
1024,128,23,0.004256,0.025728,PASS
1024,128,24,0.004416,0.02464,PASS
1024,128,25,0.004448,0.024544,PASS
1024,128,26,0.004224,0.025153,PASS
1024,128,27,0.004192,0.025664,PASS
1024,128,28,0.004768,0.025696,PASS
1024,128,29,0.006624,0.024032,PASS
1024,128,30,0.006208,0.024,PASS
1024,128,31,0.004256,0.024448,PASS
1024,128,32,0.004416,0.023521,PASS
1024,128,33,0.004192,0.024672,PASS
1024,128,34,0.004384,0.024608,PASS
1024,128,35,0.0056,0.0256,PASS
1024,128,36,0.005504,0.024352,PASS
1024,128,37,0.004352,0.023649,PASS
1024,128,38,0.005536,0.024096,PASS
1024,128,39,0.005824,0.023872,PASS
1024,128,40,0.004448,0.02464,PASS
1024,128,41,0.005696,0.025568,PASS
1024,128,42,0.005696,0.036865,PASS
1024,128,43,0.004416,0.027488,PASS
1024,128,44,0.005792,0.024416,PASS
1024,128,45,0.004352,0.025504,PASS
1024,128,46,0.005728,0.024896,PASS
1024,128,47,0.005888,0.025409,PASS
1024,128,48,0.004288,0.023712,PASS
1024,128,49,0.0056,0.024896,PASS
1024,128,50,0.00448,0.024448,PASS
1024,128,51,0.00432,0.023456,PASS
1024,128,52,0.004448,0.024449,PASS
1024,128,53,0.004256,0.023488,PASS
1024,128,54,0.004256,0.024064,PASS
1024,128,55,0.00448,0.02416,PASS
1024,128,56,0.004064,0.02528,PASS
1024,128,57,0.005632,0.023681,PASS
1024,128,58,0.00432,0.02352,PASS
1024,128,59,0.004448,0.024576,PASS
1024,128,60,0.005536,0.023552,PASS
1024,128,61,0.0056,0.024064,PASS
1024,128,62,0.005632,0.022784,PASS
1024,128,63,0.005952,0.025761,PASS
1024,128,64,0.00384,0.023392,PASS
1024,128,65,0.005632,0.02432,PASS
1024,128,66,0.005536,0.024608,PASS
1024,128,67,0.005536,0.02432,PASS
1024,128,68,0.005632,0.024161,PASS
1024,128,69,0.00608,0.02432,PASS
1024,128,70,0.00576,0.024448,PASS
1024,128,71,0.005952,0.022528,PASS
1024,128,72,0.004,0.023648,PASS
1024,128,73,0.004384,0.024321,PASS
1024,128,74,0.00384,0.024384,PASS
1024,128,75,0.005728,0.025696,PASS
1024,128,76,0.00608,0.023648,PASS
1024,128,77,0.005856,0.024448,PASS
1024,128,78,0.004448,0.026593,PASS
1024,128,79,0.0056,0.023552,PASS
1024,128,80,0.004288,0.023424,PASS
1024,128,81,0.00384,0.02512,PASS
1024,128,82,0.00384,0.024,PASS
1024,128,83,0.005696,0.022849,PASS
1024,128,84,0.006048,0.022784,PASS
1024,128,85,0.005856,0.023904,PASS
1024,128,86,0.005792,0.024608,PASS
1024,128,87,0.00608,0.024512,PASS
1024,128,88,0.004416,0.025568,PASS
1024,128,89,0.0056,0.024609,PASS
1024,128,90,0.00384,0.02352,PASS
1024,128,91,0.0056,0.024704,PASS
1024,128,92,0.005856,0.023424,PASS
1024,128,93,0.006016,0.02432,PASS
1024,128,94,0.005792,0.024961,PASS
1024,128,95,0.006208,0.028096,PASS
1024,128,96,0.003808,0.024928,PASS
1024,128,97,0.005952,0.025024,PASS
1024,128,98,0.004448,0.024608,PASS
1024,128,99,0.0048,0.024513,PASS
1024,256,0,0.006944,0.049153,PASS
1024,256,1,0.005952,0.02608,PASS
1024,256,2,0.004608,0.025248,PASS
1024,256,3,0.004256,0.024512,PASS
1024,256,4,0.007968,0.025697,PASS
1024,256,5,0.005792,0.025632,PASS
1024,256,6,0.004416,0.024192,PASS
1024,256,7,0.006176,0.024768,PASS
1024,256,8,0.00448,0.024544,PASS
1024,256,9,0.006016,0.026177,PASS
1024,256,10,0.003808,0.0248,PASS
