n,block_size,iteration,kernel_ms,total_ms,correct
1024,128,0,0.00656,0.047553,PASS
1024,128,1,0.004416,0.025216,PASS
1024,128,2,0.00576,0.024256,PASS
1024,128,3,0.004352,0.025376,PASS
1024,128,4,0.006016,0.02352,PASS
1024,128,5,0.004256,0.024801,PASS
1024,128,6,0.00576,0.024224,PASS
1024,128,7,0.005568,0.024832,PASS
1024,128,8,0.00448,0.025344,PASS
1024,128,9,0.00416,0.023712,PASS
1024,128,10,0.004384,0.024577,PASS
1024,128,11,0.004448,0.024608,PASS
1024,128,12,0.005792,0.02544,PASS
1024,128,13,0.00576,0.024416,PASS
1024,128,14,0.005888,0.02448,PASS
1024,128,15,0.005664,0.026529,PASS
1024,128,16,0.005728,0.024672,PASS
1024,128,17,0.005504,0.024544,PASS
1024,128,18,0.005856,0.024672,PASS
1024,128,19,0.004448,0.02448,PASS
1024,128,20,0.005664,0.024449,PASS
1024,128,21,0.004128,0.025472,PASS
1024,128,22,0.0056,0.025824,PASS
1024,128,23,0.005888,0.025568,PASS
1024,128,24,0.005984,0.024448,PASS
1024,128,25,0.003968,0.024545,PASS
1024,128,26,0.004256,0.025728,PASS
1024,128,27,0.004832,0.026368,PASS
1024,128,28,0.004352,0.02352,PASS
1024,128,29,0.005696,0.036128,PASS
1024,128,30,0.005664,0.024385,PASS
1024,128,31,0.005792,0.025312,PASS
1024,128,32,0.003936,0.026848,PASS
1024,128,33,0.004512,0.02752,PASS
1024,128,34,0.004384,0.024448,PASS
1024,128,35,0.005664,0.024513,PASS
1024,128,36,0.005984,0.024608,PASS
1024,128,37,0.005728,0.025152,PASS
1024,128,38,0.004352,0.023808,PASS
1024,128,39,0.004128,0.023744,PASS
1024,128,40,0.005504,0.024449,PASS
1024,128,41,0.005824,0.025408,PASS
1024,128,42,0.00576,0.024704,PASS
1024,128,43,0.004448,0.023552,PASS
1024,128,44,0.005696,0.024576,PASS
1024,128,45,0.005536,0.023393,PASS
1024,128,46,0.00432,0.023584,PASS
1024,128,47,0.00592,0.025536,PASS
1024,128,48,0.005792,0.023456,PASS
1024,128,49,0.003904,0.02352,PASS
1024,128,50,0.005824,0.025792,PASS
1024,128,51,0.005792,0.023361,PASS
1024,128,52,0.005792,0.024512,PASS
1024,128,53,0.004512,0.023552,PASS
1024,128,54,0.005536,0.023168,PASS
1024,128,55,0.00416,0.023776,PASS
1024,128,56,0.005568,0.023617,PASS
1024,128,57,0.005504,0.02352,PASS
1024,128,58,0.005856,0.023424,PASS
1024,128,59,0.005664,0.023456,PASS
1024,128,60,0.00576,0.022624,PASS
1024,128,61,0.005632,0.023553,PASS
1024,128,62,0.004352,0.023808,PASS
1024,128,63,0.0056,0.02432,PASS
1024,128,64,0.004,0.023424,PASS
1024,128,65,0.006272,0.024608,PASS
