framework,copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
cuda,contiguous,1048576,4194304,1,10,0.007661,0.006208,1095.004,PASS
cuda,contiguous,1048576,4194304,1,50,0.007868,0.006176,1066.146,PASS
cuda,contiguous,1048576,4194304,1,100,0.007910,0.006208,1060.496,PASS
cuda,strided,1048576,4194304,2,10,0.008035,0.007808,1043.983,PASS
cuda,strided,1048576,4194304,2,50,0.008045,0.006464,1042.654,PASS
cuda,strided,1048576,4194304,2,100,0.007954,0.006464,1054.651,PASS
cuda,strided,1048576,4194304,4,10,0.007974,0.007552,1051.942,PASS
cuda,strided,1048576,4194304,4,50,0.008239,0.007488,1018.114,PASS
cuda,strided,1048576,4194304,4,100,0.008111,0.006528,1034.221,PASS
cuda,strided,1048576,4194304,8,10,0.007856,0.007328,1067.796,PASS
cuda,strided,1048576,4194304,8,50,0.008224,0.007552,1020.016,PASS
cuda,strided,1048576,4194304,8,100,0.008087,0.007552,1037.290,PASS
cuda,strided,1048576,4194304,16,10,0.008192,0.007648,1024.000,PASS
cuda,strided,1048576,4194304,16,50,0.008075,0.007552,1038.853,PASS
cuda,strided,1048576,4194304,16,100,0.008032,0.007552,1044.398,PASS
cuda,strided,1048576,4194304,32,10,0.010016,0.009664,837.521,PASS
cuda,strided,1048576,4194304,32,50,0.010200,0.009632,822.387,PASS
cuda,strided,1048576,4194304,32,100,0.010171,0.009568,824.793,PASS
cuda,strided,1048576,4194304,64,10,0.010371,0.009856,808.837,PASS
cuda,strided,1048576,4194304,64,50,0.010173,0.009632,824.560,PASS
cuda,strided,1048576,4194304,64,100,0.010043,0.009600,835.253,PASS
cuda,contiguous,4194304,16777216,1,10,0.014147,0.012704,2371.807,PASS
cuda,contiguous,4194304,16777216,1,50,0.014458,0.012736,2320.783,PASS
cuda,contiguous,4194304,16777216,1,100,0.014332,0.012672,2341.303,PASS
cuda,strided,4194304,16777216,2,10,0.014173,0.013760,2367.523,PASS
cuda,strided,4194304,16777216,2,50,0.014513,0.013760,2311.982,PASS
cuda,strided,4194304,16777216,2,100,0.014241,0.013696,2356.192,PASS
cuda,strided,4194304,16777216,4,10,0.014304,0.013952,2345.808,PASS
cuda,strided,4194304,16777216,4,50,0.014408,0.013696,2328.824,PASS
cuda,strided,4194304,16777216,4,100,0.014254,0.013664,2354.076,PASS
cuda,strided,4194304,16777216,8,10,0.014374,0.013696,2334.319,PASS
cuda,strided,4194304,16777216,8,50,0.014470,0.013216,2318.935,PASS
cuda,strided,4194304,16777216,8,100,0.014323,0.013664,2342.716,PASS
cuda,strided,4194304,16777216,16,10,0.016595,0.015712,2021.936,PASS
cuda,strided,4194304,16777216,16,50,0.016627,0.015776,2018.122,PASS
cuda,strided,4194304,16777216,16,100,0.016281,0.015712,2061.002,PASS
cuda,strided,4194304,16777216,32,10,0.022608,0.021888,1484.184,PASS
cuda,strided,4194304,16777216,32,50,0.022839,0.021888,1469.170,PASS
