framework,transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
cuda,naive,1024,1024,4194304,10,0.008490,0.007520,988.104,PASS
cuda,naive,1024,1024,4194304,50,0.008366,0.007552,1002.693,PASS
cuda,naive,1024,1024,4194304,100,0.008207,0.007552,1022.123,PASS
cuda,tiled,1024,1024,4194304,10,0.005869,0.005568,1429.357,PASS
cuda,tiled,1024,1024,4194304,50,0.006132,0.005568,1367.898,PASS
cuda,tiled,1024,1024,4194304,100,0.006203,0.005536,1352.443,PASS
cuda,naive,2048,1024,8388608,10,0.010966,0.010144,1529.874,PASS
cuda,naive,2048,1024,8388608,50,0.011428,0.009920,1468.100,PASS
cuda,naive,2048,1024,8388608,100,0.010979,0.010048,1528.180,PASS
cuda,tiled,2048,1024,8388608,10,0.008090,0.007680,2073.924,PASS
cuda,tiled,2048,1024,8388608,50,0.008337,0.007552,2012.467,PASS
cuda,tiled,2048,1024,8388608,100,0.008177,0.007552,2051.767,PASS
cuda,naive,4096,2048,33554432,10,0.026992,0.026272,2486.250,PASS
cuda,naive,4096,2048,33554432,50,0.030509,0.026048,2199.609,PASS
cuda,naive,4096,2048,33554432,100,0.028419,0.025984,2361.445,PASS
cuda,tiled,4096,2048,33554432,10,0.014250,0.013760,4709.527,PASS
cuda,tiled,4096,2048,33554432,50,0.014507,0.013696,4626.002,PASS
cuda,tiled,4096,2048,33554432,100,0.014356,0.013696,4674.674,PASS
pytorch,torch,1024,1024,4194304,10,0.028717,0.023168,292.115,PASS
pytorch,torch,1024,1024,4194304,50,0.025282,0.021472,331.803,PASS
pytorch,torch,1024,1024,4194304,100,0.024987,0.021056,335.721,PASS
pytorch,torch,2048,1024,8388608,10,0.027629,0.025088,607.237,PASS
pytorch,torch,2048,1024,8388608,50,0.026520,0.023200,632.617,PASS
pytorch,torch,2048,1024,8388608,100,0.026440,0.022816,634.539,PASS
pytorch,torch,4096,2048,33554432,10,0.053402,0.049536,1256.683,PASS
pytorch,torch,4096,2048,33554432,50,0.050326,0.047232,1333.472,PASS
pytorch,torch,4096,2048,33554432,100,0.050026,0.046688,1341.490,PASS
