section,copy_pattern,size,bytes,stride,transpose_variant,rows,cols,matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,gflops,correct
copy,contiguous,1048576,4194304,1,,,,,,,,10,0.007661,0.006208,1095.004,,PASS
copy,contiguous,1048576,4194304,1,,,,,,,,50,0.007868,0.006176,1066.146,,PASS
copy,contiguous,1048576,4194304,1,,,,,,,,100,0.007910,0.006208,1060.496,,PASS
copy,strided,1048576,4194304,2,,,,,,,,10,0.008035,0.007808,1043.983,,PASS
copy,strided,1048576,4194304,2,,,,,,,,50,0.008045,0.006464,1042.654,,PASS
copy,strided,1048576,4194304,2,,,,,,,,100,0.007954,0.006464,1054.651,,PASS
copy,strided,1048576,4194304,4,,,,,,,,10,0.007974,0.007552,1051.942,,PASS
copy,strided,1048576,4194304,4,,,,,,,,50,0.008239,0.007488,1018.114,,PASS
copy,strided,1048576,4194304,4,,,,,,,,100,0.008111,0.006528,1034.221,,PASS
copy,strided,1048576,4194304,8,,,,,,,,10,0.007856,0.007328,1067.796,,PASS
copy,strided,1048576,4194304,8,,,,,,,,50,0.008224,0.007552,1020.016,,PASS
copy,strided,1048576,4194304,8,,,,,,,,100,0.008087,0.007552,1037.290,,PASS
copy,strided,1048576,4194304,16,,,,,,,,10,0.008192,0.007648,1024.000,,PASS
copy,strided,1048576,4194304,16,,,,,,,,50,0.008075,0.007552,1038.853,,PASS
copy,strided,1048576,4194304,16,,,,,,,,100,0.008032,0.007552,1044.398,,PASS
copy,strided,1048576,4194304,32,,,,,,,,10,0.010016,0.009664,837.521,,PASS
copy,strided,1048576,4194304,32,,,,,,,,50,0.010200,0.009632,822.387,,PASS
copy,strided,1048576,4194304,32,,,,,,,,100,0.010171,0.009568,824.793,,PASS
copy,strided,1048576,4194304,64,,,,,,,,10,0.010371,0.009856,808.837,,PASS
copy,strided,1048576,4194304,64,,,,,,,,50,0.010173,0.009632,824.560,,PASS
copy,strided,1048576,4194304,64,,,,,,,,100,0.010043,0.009600,835.253,,PASS
copy,contiguous,4194304,16777216,1,,,,,,,,10,0.014147,0.012704,2371.807,,PASS
copy,contiguous,4194304,16777216,1,,,,,,,,50,0.014458,0.012736,2320.783,,PASS
copy,contiguous,4194304,16777216,1,,,,,,,,100,0.014332,0.012672,2341.303,,PASS
copy,strided,4194304,16777216,2,,,,,,,,10,0.014173,0.013760,2367.523,,PASS
copy,strided,4194304,16777216,2,,,,,,,,50,0.014513,0.013760,2311.982,,PASS
copy,strided,4194304,16777216,2,,,,,,,,100,0.014241,0.013696,2356.192,,PASS
copy,strided,4194304,16777216,4,,,,,,,,10,0.014304,0.013952,2345.808,,PASS
copy,strided,4194304,16777216,4,,,,,,,,50,0.014408,0.013696,2328.824,,PASS
copy,strided,4194304,16777216,4,,,,,,,,100,0.014254,0.013664,2354.076,,PASS
copy,strided,4194304,16777216,8,,,,,,,,10,0.014374,0.013696,2334.319,,PASS
copy,strided,4194304,16777216,8,,,,,,,,50,0.014470,0.013216,2318.935,,PASS
copy,strided,4194304,16777216,8,,,,,,,,100,0.014323,0.013664,2342.716,,PASS
copy,strided,4194304,16777216,16,,,,,,,,10,0.016595,0.015712,2021.936,,PASS
copy,strided,4194304,16777216,16,,,,,,,,50,0.016627,0.015776,2018.122,,PASS
copy,strided,4194304,16777216,16,,,,,,,,100,0.016281,0.015712,2061.002,,PASS
copy,strided,4194304,16777216,32,,,,,,,,10,0.022608,0.021888,1484.184,,PASS
copy,strided,4194304,16777216,32,,,,,,,,50,0.022839,0.021888,1469.170,,PASS
copy,strided,4194304,16777216,32,,,,,,,,100,0.022505,0.021856,1490.958,,PASS
copy,strided,4194304,16777216,64,,,,,,,,10,0.022819,0.021984,1470.447,,PASS
copy,strided,4194304,16777216,64,,,,,,,,50,0.022949,0.021856,1462.123,,PASS
copy,strided,4194304,16777216,64,,,,,,,,100,0.022460,0.021856,1493.996,,PASS
copy,contiguous,16777216,67108864,1,,,,,,,,10,0.051184,0.049280,2622.260,,PASS
copy,contiguous,16777216,67108864,1,,,,,,,,50,0.051313,0.049280,2615.653,,PASS
copy,contiguous,16777216,67108864,1,,,,,,,,100,0.050950,0.049184,2634.282,,PASS
copy,strided,16777216,67108864,2,,,,,,,,10,0.055459,0.054720,2420.116,,PASS
copy,strided,16777216,67108864,2,,,,,,,,50,0.055828,0.054624,2404.109,,PASS
copy,strided,16777216,67108864,2,,,,,,,,100,0.055571,0.054656,2415.239,,PASS
copy,strided,16777216,67108864,4,,,,,,,,10,0.047168,0.046496,2845.525,,PASS
copy,strided,16777216,67108864,4,,,,,,,,50,0.047400,0.045408,2831.578,,PASS
copy,strided,16777216,67108864,4,,,,,,,,100,0.047087,0.045280,2850.398,,PASS
copy,strided,16777216,67108864,8,,,,,,,,10,0.047046,0.046560,2852.880,,PASS
copy,strided,16777216,67108864,8,,,,,,,,50,0.047426,0.046528,2830.050,,PASS
copy,strided,16777216,67108864,8,,,,,,,,100,0.047209,0.046432,2843.037,,PASS
copy,strided,16777216,67108864,16,,,,,,,,10,0.052787,0.051008,2542.619,,PASS
copy,strided,16777216,67108864,16,,,,,,,,50,0.051950,0.050528,2583.590,,PASS
copy,strided,16777216,67108864,16,,,,,,,,100,0.051713,0.050528,2595.437,,PASS
copy,strided,16777216,67108864,32,,,,,,,,10,0.072525,0.071552,1850.646,,PASS
copy,strided,16777216,67108864,32,,,,,,,,50,0.072925,0.071104,1840.495,,PASS
copy,strided,16777216,67108864,32,,,,,,,,100,0.072195,0.071072,1859.095,,PASS
copy,strided,16777216,67108864,64,,,,,,,,10,0.070445,0.069600,1905.289,,PASS
copy,strided,16777216,67108864,64,,,,,,,,50,0.070867,0.069216,1893.950,,PASS
copy,strided,16777216,67108864,64,,,,,,,,100,0.070416,0.069184,1906.077,,PASS
