transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
naive_b16,1024,1024,4194304,10,0.009872,0.009184,849.737,PASS
naive_b16,1024,1024,4194304,50,0.010068,0.007648,833.208,PASS
naive_b16,1024,1024,4194304,100,0.009724,0.007808,862.656,PASS
tiled_t8_br8,1024,1024,4194304,10,0.015590,0.014112,538.062,PASS
tiled_t8_br8,1024,1024,4194304,50,0.015934,0.013696,526.457,PASS
tiled_t8_br8,1024,1024,4194304,100,0.015834,0.014112,529.777,PASS
tiled_t16_br8,1024,1024,4194304,10,0.009395,0.007872,892.861,PASS
tiled_t16_br8,1024,1024,4194304,50,0.009943,0.008352,843.666,PASS
tiled_t16_br8,1024,1024,4194304,100,0.009296,0.006752,902.420,PASS
tiled_t32_br8,1024,1024,4194304,10,0.007693,0.007200,1090.449,PASS
tiled_t32_br8,1024,1024,4194304,50,0.007875,0.005792,1065.193,PASS
tiled_t32_br8,1024,1024,4194304,100,0.007834,0.005728,1070.850,PASS
naive_b16,2048,1024,8388608,10,0.012880,0.011712,1302.579,PASS
naive_b16,2048,1024,8388608,50,0.012936,0.010464,1296.972,PASS
naive_b16,2048,1024,8388608,100,0.012682,0.010240,1322.924,PASS
tiled_t8_br8,2048,1024,8388608,10,0.024173,0.023328,694.053,PASS
tiled_t8_br8,2048,1024,8388608,50,0.024300,0.021952,690.434,PASS
tiled_t8_br8,2048,1024,8388608,100,0.024177,0.021920,693.934,PASS
tiled_t16_br8,2048,1024,8388608,10,0.011507,0.010368,1457.976,PASS
tiled_t16_br8,2048,1024,8388608,50,0.011958,0.009856,1403.040,PASS
tiled_t16_br8,2048,1024,8388608,100,0.011794,0.009856,1422.492,PASS
tiled_t32_br8,2048,1024,8388608,10,0.009555,0.008800,1755.820,PASS
tiled_t32_br8,2048,1024,8388608,50,0.009569,0.007968,1753.354,PASS
tiled_t32_br8,2048,1024,8388608,100,0.009800,0.008128,1711.961,PASS
naive_b16,4096,2048,33554432,10,0.028106,0.026720,2387.740,PASS
naive_b16,4096,2048,33554432,50,0.029019,0.026752,2312.593,PASS
naive_b16,4096,2048,33554432,100,0.028623,0.026432,2344.576,PASS
tiled_t8_br8,4096,2048,33554432,10,0.075686,0.075104,886.670,PASS
tiled_t8_br8,4096,2048,33554432,50,0.076082,0.073504,882.061,PASS
tiled_t8_br8,4096,2048,33554432,100,0.075702,0.073792,886.483,PASS
tiled_t16_br8,4096,2048,33554432,10,0.023994,0.022016,2796.949,PASS
tiled_t16_br8,4096,2048,33554432,50,0.024543,0.022560,2734.370,PASS
tiled_t16_br8,4096,2048,33554432,100,0.024359,0.022336,2754.988,PASS
tiled_t32_br8,4096,2048,33554432,10,0.016525,0.014144,4061.100,PASS
tiled_t32_br8,4096,2048,33554432,50,0.016908,0.014048,3969.173,PASS
tiled_t32_br8,4096,2048,33554432,100,0.016733,0.014208,4010.464,PASS
naive_b16,1536,1000,6144000,10,0.012234,0.010304,1004.447,PASS
naive_b16,1536,1000,6144000,50,0.012448,0.009984,987.146,PASS
naive_b16,1536,1000,6144000,100,0.011964,0.010144,1027.068,PASS
tiled_t8_br8,1536,1000,6144000,10,0.019939,0.019392,616.273,PASS
tiled_t8_br8,1536,1000,6144000,50,0.019959,0.017504,615.661,PASS
tiled_t8_br8,1536,1000,6144000,100,0.019831,0.017760,619.645,PASS
tiled_t16_br8,1536,1000,6144000,10,0.009821,0.007808,1251.222,PASS
tiled_t16_br8,1536,1000,6144000,50,0.010112,0.007808,1215.190,PASS
tiled_t16_br8,1536,1000,6144000,100,0.010056,0.008160,1221.957,PASS
tiled_t32_br8,1536,1000,6144000,10,0.008522,0.006720,1441.983,PASS
tiled_t32_br8,1536,1000,6144000,50,0.009149,0.007520,1343.033,PASS
tiled_t32_br8,1536,1000,6144000,100,0.008790,0.006336,1397.939,PASS
naive_b16,3072,777,9547776,10,0.014659,0.013568,1302.633,PASS
naive_b16,3072,777,9547776,50,0.015944,0.013664,1197.688,PASS
naive_b16,3072,777,9547776,100,0.015197,0.012960,1256.524,PASS
tiled_t8_br8,3072,777,9547776,10,0.025254,0.024416,756.128,PASS
tiled_t8_br8,3072,777,9547776,50,0.026517,0.024128,720.122,PASS
tiled_t8_br8,3072,777,9547776,100,0.026354,0.024704,724.581,PASS
tiled_t16_br8,3072,777,9547776,10,0.011632,0.010400,1641.640,PASS
tiled_t16_br8,3072,777,9547776,50,0.011606,0.009888,1645.260,PASS
tiled_t16_br8,3072,777,9547776,100,0.011811,0.009888,1616.776,PASS
tiled_t32_br8,3072,777,9547776,10,0.009494,0.008928,2011.244,PASS
tiled_t32_br8,3072,777,9547776,50,0.009593,0.008000,1990.580,PASS
tiled_t32_br8,3072,777,9547776,100,0.009638,0.007616,1981.261,PASS
