kernel,precision,execution,M,N,K,iterations,avg_ms,min_ms,tflops,max_abs_error,max_rel_error,error_count,status
wmma,fp32_tf32,native,256,256,256,20,0.012518,0.011808,2.680409,0.000000e+00,0.000000e+00,0,PASS
wmma,bf16,native,256,256,256,20,0.009702,0.008320,3.458364,0.000000e+00,0.000000e+00,0,PASS
wmma,fp8_e4m3,emulated_fp16_wmma,256,256,256,20,0.009640,0.008288,3.480750,0.000000e+00,0.000000e+00,0,PASS
wmma,fp4_e2m1,emulated_fp16_wmma,256,256,256,20,0.009771,0.008320,3.434013,0.000000e+00,0.000000e+00,0,PASS
wmma,fp32_tf32,native,512,512,512,20,0.020758,0.020000,12.931414,0.000000e+00,0.000000e+00,0,PASS
wmma,bf16,native,512,512,512,20,0.015658,0.014272,17.144100,0.000000e+00,0.000000e+00,0,PASS
wmma,fp8_e4m3,emulated_fp16_wmma,512,512,512,20,0.015130,0.014368,17.742402,0.000000e+00,0.000000e+00,0,PASS
wmma,fp4_e2m1,emulated_fp16_wmma,512,512,512,20,0.015880,0.014304,16.903996,0.000000e+00,0.000000e+00,0,PASS
wmma,fp32_tf32,native,1024,1024,1024,20,0.098317,0.097664,21.842488,2.026558e-06,3.860926e-06,0,PASS
wmma,bf16,native,1024,1024,1024,20,0.071888,0.070304,29.872630,0.000000e+00,0.000000e+00,0,PASS
wmma,fp8_e4m3,emulated_fp16_wmma,1024,1024,1024,20,0.072037,0.071584,29.810924,0.000000e+00,0.000000e+00,0,PASS
wmma,fp4_e2m1,emulated_fp16_wmma,1024,1024,1024,20,0.071827,0.070496,29.897912,0.000000e+00,0.000000e+00,0,PASS
wmma,fp32_tf32,native,768,1024,512,20,0.045248,0.044672,17.797613,1.072884e-06,3.676054e-06,0,PASS
wmma,bf16,native,768,1024,512,20,0.033715,0.032320,23.885558,0.000000e+00,0.000000e+00,0,PASS
wmma,fp8_e4m3,emulated_fp16_wmma,768,1024,512,20,0.033294,0.032192,24.187443,0.000000e+00,0.000000e+00,0,PASS
wmma,fp4_e2m1,emulated_fp16_wmma,768,1024,512,20,0.033755,0.032352,23.857250,0.000000e+00,0.000000e+00,0,PASS
